station,lat,long,date,temp
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T15:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T16:00:00,83
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T16:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T17:00:00,81
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T17:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T18:00:00,77
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T18:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T19:00:00,73
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T19:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T20:00:00,69
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T20:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T21:00:00,67
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T21:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T22:00:00,66
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T22:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T23:00:00,64
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T23:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T00:00:00,62
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T00:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T01:00:00,60
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T01:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T02:00:00,60
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T02:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T03:00:00,59
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T03:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T04:00:00,58
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T04:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T05:00:00,58
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T05:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T06:00:00,58
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T06:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T07:00:00,60
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T07:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T08:00:00,64
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T08:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T09:00:00,67
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T09:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T10:00:00,69
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T10:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T11:00:00,72
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T11:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T13:00:00,76
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T13:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T14:00:00,78
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T14:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T15:00:00,79
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T15:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T16:00:00,78
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T16:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T17:00:00,76
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T17:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T18:00:00,71
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T18:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T19:00:00,68
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T19:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T20:00:00,67
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T20:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T21:00:00,64
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T21:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T22:00:00,62
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T22:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T23:00:00,60
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-20T23:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T00:00:00,61
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T00:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T02:00:00,62
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T02:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T03:00:00,62
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T03:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T04:00:00,61
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T04:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T05:00:00,60
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T05:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T06:00:00,59
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T06:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T07:00:00,60
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T07:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T08:00:00,63
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T08:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T09:00:00,66
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T09:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T10:00:00,68
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T10:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T11:00:00,68
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T11:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T12:00:00,71
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T12:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T13:00:00,71
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T13:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T14:00:00,73
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T14:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T15:00:00,75
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T15:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T16:00:00,75
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T16:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T17:00:00,73
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T17:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T18:00:00,69
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T18:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T19:00:00,65
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T19:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T20:00:00,63
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T20:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T21:00:00,61
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T21:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T22:00:00,59
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T22:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T23:00:00,58
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-21T23:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T00:00:00,57
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T00:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T01:00:00,56
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T01:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T02:00:00,56
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T02:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T03:00:00,55
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T03:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T04:00:00,54
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T04:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T05:00:00,53
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T05:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-22T06:00:00,52
